pais,id_accidente,fecha,municipio,provincia,linea,operador,suceso_codigo,suceso_desc,causa_codigo,causa_desc,fallecidos,heridos_graves,heridos_leves,hora,pk,resumen,titulo_informe,informe_publico_url,organismo_investigador,num_paginas,fuente_datos,latitud,longitud,estado_investigacion,fecha_procesamiento
ES,ES-2006-42,2006-12-01,Fuencarr,,Hortaleza Bifurca ción-Pitis,,1.7.7,Otros,2.4,Sin identificar,0,0,0,,,nº 54/2006 ocurrido el 01.12.2006 SECRETARIA DE  ESTADO,ID-011206-130407.pdf,https://www.era.europa.eu/system/files/2023-07/ID-011206-130407.pdf,CIAF,7,ERA,,,Completado,2026-07-06T13:13:28.239603
ES,ES-2006-26926,2006-09-05,,,Santander-Pa,Cercanías,1.5.1.1,Arrollamiento en plena vía,2.4,Sin identificar,0,0,0,,,nº 32/2006 ocurrido el 05.09.2006 SECRETARIA DE  ESTADO,ID-050906-020207.pdf,https://www.era.europa.eu/system/files/2023-07/ID-050906-020207.pdf,CIAF,6,ERA,,,Completado,2026-07-06T13:13:28.343013
ES,ES-2006-54883,2006-10-05,de E l Vendrell,Tarragona,Barcel ona Sants,Renfe,1.5.1.2,Arrollamiento en estación,2.4,Sin identificar,0,0,0,07:30,28+570,nº 35/2006 ocurrido el 05.10.2006 SECRETARIA DE  ESTADO,ID-051006-020307.pdf,https://www.era.europa.eu/system/files/2023-07/ID-051006-020307.pdf,CIAF,6,ERA,,,Completado,2026-07-06T13:13:28.451043
ES,ES-2006-15196,2006-04-07,Villena,Alicante,Madrid-Ali,Renfe,1.4.1.1,Accidente PN - Vehículo,2.4,Sin identificar,0,0,0,00:38,325+615,nº 16/2006 ocurrido el 07.04.2006 SECRETARIA DE  ESTADO,ID-070406-020207.pdf,https://www.era.europa.eu/system/files/2023-07/ID-070406-020207.pdf,CIAF,6,ERA,,,Completado,2026-07-06T13:13:28.605468
ES,ES-8304-1,2006-10-07,,,Sant Vicen,ADIF,1.5.1.1,Arrollamiento en plena vía,2.4,Sin identificar,0,0,0,05:34,,nº 0048/2006 ocurrido el 07.10.2006 SECRETARIA DE  ESTADO,ID-071006-130407.pdf,https://www.era.europa.eu/system/files/2023-07/ID-071006-130407.pdf,CIAF,6,ERA,,,Completado,2026-07-06T13:13:28.708119
ES,ES-2006-101,2006-11-07,de T eruel situada en P,,Caminreal,Renfe,1.5.1.2,Arrollamiento en estación,2.4,Sin identificar,0,0,0,,131+007,nº 0045/2006 ocurrido el 07.11.2006 SECRETARIA DE  ESTADO,ID-071106-130407.pdf,https://www.era.europa.eu/system/files/2023-07/ID-071106-130407.pdf,CIAF,6,ERA,,,Completado,2026-07-06T13:13:28.816456
ES,ES-2006-101104,2006-10-08,,,Madrid-Bar,ferr,1.7.7,Otros,2.4,Sin identificar,0,0,0,10:40,625+120,nº 36/2006 ocurrido el 08.10.2006 SECRETARIA DE  ESTADO,ID-081006-020307.pdf,https://www.era.europa.eu/system/files/2023-07/ID-081006-020307.pdf,CIAF,6,ERA,,,Completado,2026-07-06T13:13:28.949546
ES,ES-2006-1,2006-06-09,San,,Madri d-Valenci,ferr,1.5.1.2,Arrollamiento en estación,2.4,Sin identificar,0,0,0,17:00,,nº 26/2006 ocurrido el 09.06.2006 SECRETARIA DE  ESTADO,ID-090606-020207.pdf,https://www.era.europa.eu/system/files/2023-07/ID-090606-020207.pdf,CIAF,6,ERA,,,Completado,2026-07-06T13:13:29.050103
ES,ES-2006-5,2006-11-10,,,Barcelona,ADIF,1.1,Colisión,2.4,Sin identificar,0,0,0,06:38,,nº 46/2006 ocurrido el 10.11.2006 SECRETARIA DE  ESTADO,ID-101106-180507-DGF.pdf,https://www.era.europa.eu/system/files/2023-07/ID-101106-180507-DGF.pdf,CIAF,10,ERA,,,Completado,2026-07-06T13:13:29.229910
ES,ES-2006-458,2006-11-11,,Barcelona,Cas tellbisball-Mollet,es,1.7.7,Otros,2.4,Sin identificar,0,0,0,,,nº 47/2006 ocurrido el 11.11.2006 SECRETARIA DE  ESTADO,ID-111106-130407.pdf,https://www.era.europa.eu/system/files/2023-07/ID-111106-130407.pdf,CIAF,6,ERA,,,Completado,2026-07-06T13:13:29.329299
ES,ES-2006-8259,2006-12-11,Vila nova i La Geltrú,,Madrid,Renfe,1.5.1.2,Arrollamiento en estación,2.4,Sin identificar,0,0,0,22:55,,nº 0056/2006 ocurrido el 11.12.2006 SECRETARIA DE  ESTADO,ID-111206-130407.pdf,https://www.era.europa.eu/system/files/2023-07/ID-111206-130407.pdf,CIAF,6,ERA,,,Completado,2026-07-06T13:13:29.435980
ES,ES-2006-61,2006-05-12,Renedo se encuentra en el P,,,Renfe,1.4.1.1,Accidente PN - Vehículo,2.4,Sin identificar,0,0,0,16:10,494+004,nº 20/2006 ocurrido el 12.05.2006 SECRETARIA DE  ESTADO,ID-120506-020207.pdf,https://www.era.europa.eu/system/files/2023-07/ID-120506-020207.pdf,CIAF,6,ERA,,,Completado,2026-07-06T13:13:29.537242
ES,ES-2006-8098,2006-10-15,,Tarragona,Valen cia-Tarragon,Renfe,1.4,Accidente en paso a nivel,2.4,Sin identificar,0,0,0,,262+005,nº 0040/2006 ocurrido el 15.10.2006 SECRETARIA DE  ESTADO,ID-151006-020307-SALOU_Valencia to Barcelona.pdf,https://www.era.europa.eu/system/files/2023-07/ID-151006-020307-SALOU_Valencia%20to%20Barcelona.pdf,CIAF,6,ERA,,,Completado,2026-07-06T13:13:29.642062
ES,ES-2006-15695,2006-10-15,"Santa Cruz de 
Mudela",,"Alcázar  de 
San Juan-Cádiz",Renfe,2,Incidente,2.4,Sin identificar,0,0,0,,,nº 38/2006 ocurrido el 15.10.2006 SECRETARIA DE  ESTADO,ID-151006-020307-STACRUZ.pdf,https://www.era.europa.eu/system/files/2023-07/ID-151006-020307-STACRUZ.pdf,CIAF,6,ERA,,,Completado,2026-07-06T13:13:29.759623
ES,ES-2006-18316,2006-10-15,,,Tarragona,Renfe,1.4.1.2,Accidente PN - Peatón,2.4,Sin identificar,0,0,0,06:56,88+090,nº 37/2006 ocurrido el 15.10.2006 SECRETARIA DE  ESTADO,ID-151006-150107-SFELIU_ES-24.pdf,https://www.era.europa.eu/system/files/2023-07/ID-151006-150107-SFELIU_ES-24.pdf,CIAF,6,ERA,,,Completado,2026-07-06T13:13:29.867012
ES,ES-2006-169,2006-11-15,Cullera,Valencia,Silla-Gandía,Renfe,1.4.1.1,Accidente PN - Vehículo,2.4,Sin identificar,0,0,0,06:00,,nº 0049/2006 ocurrido el 15.11.2006 SECRETARIA DE  ESTADO,ID-151106-130407.pdf,https://www.era.europa.eu/system/files/2023-07/ID-151106-130407.pdf,CIAF,7,ERA,,,Completado,2026-07-06T13:13:30.043875
ES,ES-2006-1501,2006-05-16,Vilarreal,de Castell ón,Valencia-Tarragona,Renfe,1.4.1.1,Accidente PN - Vehículo,2.4,Sin identificar,0,0,0,,62+363,nº 21/2006 ocurrido el 16.05.2006 SECRETARIA DE  ESTADO,ID-160506-020307.pdf,https://www.era.europa.eu/system/files/2023-07/ID-160506-020307.pdf,CIAF,6,ERA,,,Completado,2026-07-06T13:13:30.143985
ES,ES-2006-5358,2006-09-16,,de Bar celona,Lérida-Bar,COVIS,1.5.1.1,Arrollamiento en plena vía,1.1.6,Factor humano - Mantenimiento,0,0,0,,,nº 33/2006 ocurrido el 16.09.2006 SECRETARIA DE  ESTADO,ID-160906-020207.pdf,https://www.era.europa.eu/system/files/2023-07/ID-160906-020207.pdf,CIAF,9,ERA,,,Completado,2026-07-06T13:13:30.301099
